E05000026	Abbey	Barking and Dagenham
E05000027	Alibon	Barking and Dagenham
E05000028	Becontree	Barking and Dagenham
E05000029	Chadwell Heath	Barking and Dagenham
E05000030	Eastbrook	Barking and Dagenham
E05000031	Eastbury	Barking and Dagenham
E05000032	Gascoigne	Barking and Dagenham
E05000033	Goresbrook	Barking and Dagenham
E05000034	Heath	Barking and Dagenham
E05000035	Longbridge	Barking and Dagenham
E05000036	Mayesbrook	Barking and Dagenham
E05000037	Parsloes	Barking and Dagenham
E05000038	River	Barking and Dagenham
E05000039	Thames	Barking and Dagenham
E05000040	Valence	Barking and Dagenham
E05000041	Village	Barking and Dagenham
E05000042	Whalebone	Barking and Dagenham
E05000043	Brunswick Park	Barnet
E05000044	Burnt Oak	Barnet
E05000045	Childs Hill	Barnet
E05000046	Colindale	Barnet
E05000047	Coppetts	Barnet
E05000048	East Barnet	Barnet
E05000049	East Finchley	Barnet
E05000050	Edgware	Barnet
E05000051	Finchley Church End	Barnet
E05000052	Garden Suburb	Barnet
E05000053	Golders Green	Barnet
E05000054	Hale	Barnet
E05000055	Hendon	Barnet
E05000056	High Barnet	Barnet
E05000057	Mill Hill	Barnet
E05000058	Oakleigh	Barnet
E05000059	Totteridge	Barnet
E05000060	Underhill	Barnet
E05000061	West Finchley	Barnet
E05000062	West Hendon	Barnet
E05000063	Woodhouse	Barnet
E05000064	Barnehurst	Bexley
E05000065	Belvedere	Bexley
E05000066	Blackfen and Lamorbey	Bexley
E05000067	Blendon and Penhill	Bexley
E05000068	Brampton	Bexley
E05000069	Christchurch	Bexley
E05000070	Colyers	Bexley
E05000071	Crayford	Bexley
E05000072	Cray Meadows	Bexley
E05000073	Danson Park	Bexley
E05000074	East Wickham	Bexley
E05000075	Erith	Bexley
E05000076	Falconwood and Welling	Bexley
E05000077	Lesnes Abbey	Bexley
E05000078	Longlands	Bexley
E05000079	North End	Bexley
E05000080	Northumberland Heath	Bexley
E05000081	St. Mary's	Bexley
E05000082	St. Michael's	Bexley
E05000083	Sidcup	Bexley
E05000084	Thamesmead East	Bexley
E05000085	Alperton	Brent
E05000086	Barnhill	Brent
E05000087	Brondesbury Park	Brent
E05000088	Dollis Hill	Brent
E05000089	Dudden Hill	Brent
E05000090	Fryent	Brent
E05000091	Harlesden	Brent
E05000092	Kensal Green	Brent
E05000093	Kenton	Brent
E05000094	Kilburn	Brent
E05000095	Mapesbury	Brent
E05000096	Northwick Park	Brent
E05000097	Preston	Brent
E05000098	Queens Park	Brent
E05000099	Queensbury	Brent
E05000100	Stonebridge	Brent
E05000101	Sudbury	Brent
E05000102	Tokyngton	Brent
E05000103	Welsh Harp	Brent
E05000104	Wembley Central	Brent
E05000105	Willesden Green	Brent
E05000106	Bickley	Bromley
E05000107	Biggin Hill	Bromley
E05000108	Bromley Common and Keston	Bromley
E05000109	Bromley Town	Bromley
E05000110	Chelsfield and Pratts Bottom	Bromley
E05000111	Chislehurst	Bromley
E05000112	Clock House	Bromley
